epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4894,0.95202,2.54238,1.36673,0.00333,1,0.67172,0.47593,0.49029,3.13561,1.07437,0.00012,0.00012,0.00012
2,37.5144,0.77223,1.60403,1.21739,0.00426,1,0.9164,0.57792,0.93207,2.99921,1.26731,0.000251956,0.000251956,0.000251956
3,56.1928,0.67058,1.09065,1.12752,1,0.33462,0.94854,0.80089,0.57775,2.72766,1.03631,0.00037525,0.00037525,0.00037525
4,75.0415,0.71104,1.08481,1.15238,1,0.79414,0.995,0.86785,0.57823,2.46096,1.10836,0.000489881,0.000489881,0.000489881
5,93.7797,0.73854,1.02703,1.19656,0.96155,0.86224,0.97964,0.75964,0.64105,2.55208,1.22207,0.00059585,0.00059585,0.00059585
6,112.985,0.6768,0.99173,1.15331,0.96381,0.91869,0.98962,0.77153,0.75331,2.46819,1.30781,0.000693156,0.000693156,0.000693156
7,131.113,0.67656,0.98467,1.14413,0.96501,0.9513,0.99033,0.7807,0.74078,2.03782,1.31325,0.0007818,0.0007818,0.0007818
8,149.393,0.82429,0.99721,1.24609,0.90509,0.98682,0.98795,0.75872,0.85268,1.87548,1.44717,0.000861781,0.000861781,0.000861781
9,167.876,0.80179,0.96034,1.21384,0.92212,0.81685,0.94319,0.68998,0.90874,2.08025,1.51176,0.0009331,0.0009331,0.0009331
10,186.193,0.73559,0.96103,1.1743,0.96633,0.98996,0.98833,0.67252,0.98501,2.1725,1.46294,0.000995756,0.000995756,0.000995756
11,204.28,0.65521,0.91064,1.10964,1,0.9192,0.993,0.75594,0.84293,1.99874,1.35566,0.00104975,0.00104975,0.00104975
12,222.579,0.68137,0.85352,1.16262,0.98784,0.82759,0.96527,0.75556,0.84731,1.68896,1.3269,0.00109508,0.00109508,0.00109508
13,241.514,0.71539,0.82871,1.16553,1,0.85623,0.97281,0.71698,0.9627,1.85066,1.46509,0.00113175,0.00113175,0.00113175
14,260.863,0.65434,0.82047,1.12561,0.99735,0.7931,0.91668,0.68265,0.88124,1.88817,1.41036,0.00115976,0.00115976,0.00115976
15,279.247,0.73665,0.8409,1.18752,0.90562,0.7931,0.91182,0.70834,0.887,1.80816,1.31834,0.00113375,0.00113375,0.00113375
16,300.222,0.6668,0.78954,1.14409,0.83834,0.89417,0.93947,0.73932,0.78939,1.58399,1.26038,0.00107187,0.00107187,0.00107187
17,320.852,0.66106,0.74158,1.09609,0.89629,0.7931,0.93842,0.70767,0.83375,1.57352,1.30877,0.00101,0.00101,0.00101
18,339.52,0.65056,0.76515,1.13707,0.8895,0.83288,0.95393,0.7025,0.90305,1.52098,1.39349,0.000948125,0.000948125,0.000948125
19,357.895,0.62725,0.69554,1.08193,0.92436,0.89655,0.94582,0.67386,0.93986,1.38289,1.47068,0.00088625,0.00088625,0.00088625
20,376.066,0.58874,0.66999,1.11981,0.96058,1,0.994,0.82615,0.65029,0.95315,1.11919,0.000824375,0.000824375,0.000824375
21,394.325,0.65423,0.69997,1.12153,0.99618,1,0.995,0.84225,0.63414,0.95303,1.08556,0.0007625,0.0007625,0.0007625
22,412.551,0.64563,0.68929,1.08917,0.93025,1,0.98484,0.8326,0.61809,1.02614,1.12563,0.000700625,0.000700625,0.000700625
23,430.548,0.49651,0.95455,1.0679,0.99634,1,0.995,0.90216,0.53479,1.14946,1.06926,0.00063875,0.00063875,0.00063875
24,448.626,0.45306,0.88604,1.08257,0.99485,1,0.995,0.88539,0.57515,1.25585,1.11778,0.000576875,0.000576875,0.000576875
25,466.656,0.41487,0.86197,1.02766,0.96262,1,0.994,0.87112,0.5869,1.07346,1.10828,0.000515,0.000515,0.000515
26,484.727,0.43734,0.7799,1.04598,0.98949,1,0.995,0.89092,0.50924,0.86703,0.95337,0.000453125,0.000453125,0.000453125
27,502.931,0.41055,0.74888,0.98723,0.99726,1,0.995,0.91201,0.49858,0.85326,0.95035,0.00039125,0.00039125,0.00039125
28,520.972,0.39335,0.70487,1.02088,0.99738,1,0.995,0.91764,0.47207,0.81069,0.94029,0.000329375,0.000329375,0.000329375
29,539.024,0.42341,0.71803,0.99074,0.99756,1,0.995,0.92234,0.44833,0.79483,0.92424,0.0002675,0.0002675,0.0002675
30,557.335,0.37571,0.6703,1.02108,0.99789,1,0.995,0.91695,0.44105,0.77074,0.91746,0.000205625,0.000205625,0.000205625
31,575.59,0.39469,0.68796,1.02527,0.99798,1,0.995,0.92523,0.44082,0.76935,0.91417,0.00014375,0.00014375,0.00014375
32,593.799,0.35105,0.66576,1.01576,0.99799,1,0.995,0.93785,0.43244,0.75506,0.90162,8.1875e-05,8.1875e-05,8.1875e-05
